sort,Family,Genus,Taxa,specimen numbers,,Portik,phylogeny notes,guild,ecology,Spec_lotic,ecology_source,lung_text,lung,lung_info,JRP_dissection_museum,museum dissection N = ,stage range exained,visit number,JRP_dissection_fresh,Histological_sections_examined,Dice_CT_material_reviewed,PHD_dissection_museum,air-breathing,literature_morphology,literature,Conflicting Source,Notes,Taxa_clone,development_high,development_low,source,source 2 (if needed),notes on larval period,Jetz_name
128,Bufonidae,Schismaderma,Schismaderma_carens,KU_206575,,,,"lentic, nektonic",1,0,,absent,0,buds,KU,2,,2,3,,,,,,,,,Schismaderma_carens,,,,,,
129,Bufonidae,Sclerophrys,Sclerophrys_capensis,,,,,lentic,1,0,,absent,0,buds,PHYSIO,,,,1,,,,,,,,,Sclerophrys_capensis,,,,,,Amietophrynus_rangeri
130,Bufonidae,Sclerophrys,Sclerophrys_garmani,PEM_T685,,,,lentic,1,0,,absent,0,buds,,,,,,,,,,,,,,,,,,,,
131,Bufonidae,Sclerophrys,Sclerophrys_gutturalis,PEM_T536,,,,lentic,1,0,,absent,0,buds,Bayworld,,,,,,,,,,,,,Sclerophrys_gutturalis,,,,,,Amietophrynus_gutturalis
132,Bufonidae,Sclerophrys,Sclerophrys_lemairii,PEM_T555,,,,lentic,1,0,,absent,0,buds,,,,,,,,,,,,,,,,,,,,
133,Bufonidae,Sclerophrys,Sclerophrys_pardalis,PEM_T330,,,,lentic,1,0,,absent,0,buds,,,,,,,,,,,,,,,,,,,,
134,Bufonidae,Sclerophrys,Sclerophrys_perreti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bufonidae,Sclerophrys,Sclerophrys_poweri,KU_206588,,,,lentic,1,0,FrogMAP,absent,0,buds,KU,1,~35,1,,,,,,,KU,,,Sclerophrys_poweri,,,,,,Amietophrynus_poweri
136,Bufonidae,Sclerophrys,Sclerophrys_pusilla,PEM_T655,,,,lentic,1,0,,absent,0,buds,,,,,,,,,,,,,,,,,,,,
137,Bufonidae,Sigalegalephrynus,,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
138,Bufonidae,Strauchbufo,Strauchbufo_raddei,KU_331692,,,,lentic,1,0,,absent,0,buds,KU,1,~37,1,,,,,,,KU,,,Strauchbufo_raddei,,,,,,
139,Bufonidae,Truebella,,,,,,endotroph,,0,,,,,,,,,,,,,,,,,,0,,,,,,
140,Bufonidae,Vandijkophrynus,Vandijkophrynus_amatolicus,PEM_T493,,,,lentic,1,0,,absent,0,absent,,,,,,,,,,,,,,,,,,,,
141,Bufonidae,Vandijkophrynus,Vandijkophrynus_angusticeps,PEM_T483,,,,lentic,1,0,,absent,0,buds,,,,,,,,,,,,,,,,,,,,
142,Bufonidae,Vandijkophrynus,Vandijkophrynus_gariepensis,KU_206551 & PEM_A13564,,,,lentic,1,0,,absent,0,buds,KU,1,,2,,,,,,,KU,,,Vandijkophrynus_gariepensis,,,,,,
143,Bufonidae,Werneria,,,,,,"lotic, suctorial",0,1,"Hirschfeld et al., 2012",,,,,,,,,,,,,,,,,0,,,,,,
144,Bufonidae,Wolterstorffina,,,,,,"lentic, arboreal",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
